Survived,Age,SibSp,Parch,Fare,Cabin,Pclass_1,Pclass_2,Pclass_3,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,22.0,1,0,7.25,Unknown,False,False,True,True,False,False,True
1,38.0,1,0,71.2833,C85,True,False,False,False,True,False,False
1,26.0,0,0,7.925,Unknown,False,False,True,False,False,False,True
1,35.0,1,0,53.1,C123,True,False,False,False,False,False,True
0,35.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,0,0,8.4583,Unknown,False,False,True,True,False,True,False
0,54.0,0,0,51.8625,E46,True,False,False,True,False,False,True
0,2.0,3,1,21.075,Unknown,False,False,True,True,False,False,True
1,27.0,0,2,11.1333,Unknown,False,False,True,False,False,False,True
1,14.0,1,0,30.0708,Unknown,False,True,False,False,True,False,False
1,4.0,1,1,16.7,G6,False,False,True,False,False,False,True
1,58.0,0,0,26.55,C103,True,False,False,False,False,False,True
0,20.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,39.0,1,5,31.275,Unknown,False,False,True,True,False,False,True
0,14.0,0,0,7.8542,Unknown,False,False,True,False,False,False,True
1,55.0,0,0,16.0,Unknown,False,True,False,False,False,False,True
0,2.0,4,1,29.125,Unknown,False,False,True,True,False,True,False
1,29.69911764705882,0,0,13.0,Unknown,False,True,False,True,False,False,True
0,31.0,1,0,18.0,Unknown,False,False,True,False,False,False,True
1,29.69911764705882,0,0,7.225,Unknown,False,False,True,False,True,False,False
0,35.0,0,0,26.0,Unknown,False,True,False,True,False,False,True
1,34.0,0,0,13.0,D56,False,True,False,True,False,False,True
1,15.0,0,0,8.0292,Unknown,False,False,True,False,False,True,False
1,28.0,0,0,35.5,A6,True,False,False,True,False,False,True
0,8.0,3,1,21.075,Unknown,False,False,True,False,False,False,True
1,38.0,1,5,31.3875,Unknown,False,False,True,False,False,False,True
0,29.69911764705882,0,0,7.225,Unknown,False,False,True,True,True,False,False
0,19.0,3,2,263.0,C23 C25 C27,True,False,False,True,False,False,True
1,29.69911764705882,0,0,7.8792,Unknown,False,False,True,False,False,True,False
0,29.69911764705882,0,0,7.8958,Unknown,False,False,True,True,False,False,True
0,40.0,0,0,27.7208,Unknown,True,False,False,True,True,False,False
1,29.69911764705882,1,0,146.5208,B78,True,False,False,False,True,False,False
1,29.69911764705882,0,0,7.75,Unknown,False,False,True,False,False,True,False
0,66.0,0,0,10.5,Unknown,False,True,False,True,False,False,True
0,28.0,1,0,82.1708,Unknown,True,False,False,True,True,False,False
0,42.0,1,0,52.0,Unknown,True,False,False,True,False,False,True
1,29.69911764705882,0,0,7.2292,Unknown,False,False,True,True,True,False,False
0,21.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,18.0,2,0,18.0,Unknown,False,False,True,False,False,False,True
1,14.0,1,0,11.2417,Unknown,False,False,True,False,True,False,False
0,40.0,1,0,9.475,Unknown,False,False,True,False,False,False,True
0,27.0,1,0,21.0,Unknown,False,True,False,False,False,False,True
0,29.69911764705882,0,0,7.8958,Unknown,False,False,True,True,True,False,False
1,3.0,1,2,41.5792,Unknown,False,True,False,False,True,False,False
1,19.0,0,0,7.8792,Unknown,False,False,True,False,False,True,False
0,29.69911764705882,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,1,0,15.5,Unknown,False,False,True,True,False,True,False
1,29.69911764705882,0,0,7.75,Unknown,False,False,True,False,False,True,False
0,29.69911764705882,2,0,21.6792,Unknown,False,False,True,True,True,False,False
0,18.0,1,0,17.8,Unknown,False,False,True,False,False,False,True
0,7.0,4,1,39.6875,Unknown,False,False,True,True,False,False,True
0,21.0,0,0,7.8,Unknown,False,False,True,True,False,False,True
1,49.0,1,0,76.7292,D33,True,False,False,False,True,False,False
1,29.0,1,0,26.0,Unknown,False,True,False,False,False,False,True
0,65.0,0,1,61.9792,B30,True,False,False,True,True,False,False
1,29.69911764705882,0,0,35.5,C52,True,False,False,True,False,False,True
1,21.0,0,0,10.5,Unknown,False,True,False,False,False,False,True
0,28.5,0,0,7.2292,Unknown,False,False,True,True,True,False,False
1,5.0,1,2,27.75,Unknown,False,True,False,False,False,False,True
0,11.0,5,2,46.9,Unknown,False,False,True,True,False,False,True
0,22.0,0,0,7.2292,Unknown,False,False,True,True,True,False,False
1,38.0,0,0,80.0,B28,True,False,False,False,False,False,True
0,45.0,1,0,83.475,C83,True,False,False,True,False,False,True
0,4.0,3,2,27.9,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,0,0,27.7208,Unknown,True,False,False,True,True,False,False
1,29.69911764705882,1,1,15.2458,Unknown,False,False,True,True,True,False,False
1,29.0,0,0,10.5,F33,False,True,False,False,False,False,True
0,19.0,0,0,8.1583,Unknown,False,False,True,True,False,False,True
1,17.0,4,2,7.925,Unknown,False,False,True,False,False,False,True
0,26.0,2,0,8.6625,Unknown,False,False,True,True,False,False,True
0,32.0,0,0,10.5,Unknown,False,True,False,True,False,False,True
0,16.0,5,2,46.9,Unknown,False,False,True,False,False,False,True
0,21.0,0,0,73.5,Unknown,False,True,False,True,False,False,True
0,26.0,1,0,14.4542,Unknown,False,False,True,True,True,False,False
1,32.0,0,0,56.4958,Unknown,False,False,True,True,False,False,True
0,25.0,0,0,7.65,F G73,False,False,True,True,False,False,True
0,29.69911764705882,0,0,7.8958,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,0,0,8.05,Unknown,False,False,True,True,False,False,True
1,0.83,0,2,29.0,Unknown,False,True,False,True,False,False,True
1,30.0,0,0,12.475,Unknown,False,False,True,False,False,False,True
0,22.0,0,0,9.0,Unknown,False,False,True,True,False,False,True
1,29.0,0,0,9.5,Unknown,False,False,True,True,False,False,True
1,29.69911764705882,0,0,7.7875,Unknown,False,False,True,False,False,True,False
0,28.0,0,0,47.1,Unknown,True,False,False,True,False,False,True
1,17.0,0,0,10.5,Unknown,False,True,False,False,False,False,True
1,33.0,3,0,15.85,Unknown,False,False,True,False,False,False,True
0,16.0,1,3,34.375,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,0,0,8.05,Unknown,False,False,True,True,False,False,True
1,23.0,3,2,263.0,C23 C25 C27,True,False,False,False,False,False,True
0,24.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,29.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,20.0,0,0,7.8542,Unknown,False,False,True,True,False,False,True
0,46.0,1,0,61.175,E31,True,False,False,True,False,False,True
0,26.0,1,2,20.575,Unknown,False,False,True,True,False,False,True
0,59.0,0,0,7.25,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,71.0,0,0,34.6542,A5,True,False,False,True,True,False,False
1,23.0,0,1,63.3583,D10 D12,True,False,False,True,True,False,False
1,34.0,0,1,23.0,Unknown,False,True,False,False,False,False,True
0,34.0,1,0,26.0,Unknown,False,True,False,True,False,False,True
0,28.0,0,0,7.8958,Unknown,False,False,True,False,False,False,True
0,29.69911764705882,0,0,7.8958,Unknown,False,False,True,True,False,False,True
0,21.0,0,1,77.2875,D26,True,False,False,True,False,False,True
0,33.0,0,0,8.6542,Unknown,False,False,True,True,False,False,True
0,37.0,2,0,7.925,Unknown,False,False,True,True,False,False,True
0,28.0,0,0,7.8958,Unknown,False,False,True,True,False,False,True
1,21.0,0,0,7.65,Unknown,False,False,True,False,False,False,True
1,29.69911764705882,0,0,7.775,Unknown,False,False,True,True,False,False,True
0,38.0,0,0,7.8958,Unknown,False,False,True,True,False,False,True
1,29.69911764705882,1,0,24.15,Unknown,False,False,True,False,False,True,False
0,47.0,0,0,52.0,C110,True,False,False,True,False,False,True
0,14.5,1,0,14.4542,Unknown,False,False,True,False,True,False,False
0,22.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,20.0,1,0,9.825,Unknown,False,False,True,False,False,False,True
0,17.0,0,0,14.4583,Unknown,False,False,True,False,True,False,False
0,21.0,0,0,7.925,Unknown,False,False,True,True,False,False,True
0,70.5,0,0,7.75,Unknown,False,False,True,True,False,True,False
0,29.0,1,0,21.0,Unknown,False,True,False,True,False,False,True
0,24.0,0,1,247.5208,B58 B60,True,False,False,True,True,False,False
0,2.0,4,2,31.275,Unknown,False,False,True,False,False,False,True
0,21.0,2,0,73.5,Unknown,False,True,False,True,False,False,True
0,29.69911764705882,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,32.5,1,0,30.0708,Unknown,False,True,False,True,True,False,False
1,32.5,0,0,13.0,E101,False,True,False,False,False,False,True
0,54.0,0,1,77.2875,D26,True,False,False,True,False,False,True
1,12.0,1,0,11.2417,Unknown,False,False,True,True,True,False,False
0,29.69911764705882,0,0,7.75,Unknown,False,False,True,True,False,True,False
1,24.0,0,0,7.1417,Unknown,False,False,True,True,False,False,True
1,29.69911764705882,1,1,22.3583,F E69,False,False,True,False,True,False,False
0,45.0,0,0,6.975,Unknown,False,False,True,True,False,False,True
0,33.0,0,0,7.8958,Unknown,False,False,True,True,True,False,False
0,20.0,0,0,7.05,Unknown,False,False,True,True,False,False,True
0,47.0,1,0,14.5,Unknown,False,False,True,False,False,False,True
1,29.0,1,0,26.0,Unknown,False,True,False,False,False,False,True
0,25.0,0,0,13.0,Unknown,False,True,False,True,False,False,True
0,23.0,0,0,15.0458,Unknown,False,True,False,True,True,False,False
1,19.0,0,2,26.2833,D47,True,False,False,False,False,False,True
0,37.0,1,0,53.1,C123,True,False,False,True,False,False,True
0,16.0,0,0,9.2167,Unknown,False,False,True,True,False,False,True
0,24.0,0,0,79.2,B86,True,False,False,True,True,False,False
0,29.69911764705882,0,2,15.2458,Unknown,False,False,True,False,True,False,False
1,22.0,0,0,7.75,Unknown,False,False,True,False,False,False,True
1,24.0,1,0,15.85,Unknown,False,False,True,False,False,False,True
0,19.0,0,0,6.75,Unknown,False,False,True,True,False,True,False
0,18.0,0,0,11.5,Unknown,False,True,False,True,False,False,True
0,19.0,1,1,36.75,Unknown,False,True,False,True,False,False,True
1,27.0,0,0,7.7958,Unknown,False,False,True,True,False,False,True
0,9.0,2,2,34.375,Unknown,False,False,True,False,False,False,True
0,36.5,0,2,26.0,F2,False,True,False,True,False,False,True
0,42.0,0,0,13.0,Unknown,False,True,False,True,False,False,True
0,51.0,0,0,12.525,Unknown,False,True,False,True,False,False,True
1,22.0,1,0,66.6,C2,True,False,False,False,False,False,True
0,55.5,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,40.5,0,2,14.5,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,0,0,7.3125,Unknown,False,False,True,True,False,False,True
0,51.0,0,1,61.3792,Unknown,True,False,False,True,True,False,False
1,16.0,0,0,7.7333,Unknown,False,False,True,False,False,True,False
0,30.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,0,0,8.6625,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,8,2,69.55,Unknown,False,False,True,True,False,False,True
0,44.0,0,1,16.1,Unknown,False,False,True,True,False,False,True
1,40.0,0,0,15.75,Unknown,False,True,False,False,False,False,True
0,26.0,0,0,7.775,Unknown,False,False,True,True,False,False,True
0,17.0,0,0,8.6625,Unknown,False,False,True,True,False,False,True
0,1.0,4,1,39.6875,Unknown,False,False,True,True,False,False,True
1,9.0,0,2,20.525,Unknown,False,False,True,True,False,False,True
1,29.69911764705882,0,1,55.0,E33,True,False,False,False,False,False,True
0,45.0,1,4,27.9,Unknown,False,False,True,False,False,False,True
0,29.69911764705882,0,0,25.925,Unknown,True,False,False,True,False,False,True
0,28.0,0,0,56.4958,Unknown,False,False,True,True,False,False,True
0,61.0,0,0,33.5,B19,True,False,False,True,False,False,True
0,4.0,4,1,29.125,Unknown,False,False,True,True,False,True,False
1,1.0,1,1,11.1333,Unknown,False,False,True,False,False,False,True
0,21.0,0,0,7.925,Unknown,False,False,True,True,False,False,True
0,56.0,0,0,30.6958,A7,True,False,False,True,True,False,False
0,18.0,1,1,7.8542,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,3,1,25.4667,Unknown,False,False,True,True,False,False,True
0,50.0,0,0,28.7125,C49,True,False,False,False,True,False,False
0,30.0,0,0,13.0,Unknown,False,True,False,True,False,False,True
0,36.0,0,0,0.0,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,8,2,69.55,Unknown,False,False,True,False,False,False,True
0,29.69911764705882,0,0,15.05,Unknown,False,True,False,True,True,False,False
0,9.0,4,2,31.3875,Unknown,False,False,True,True,False,False,True
1,1.0,2,1,39.0,F4,False,True,False,True,False,False,True
1,4.0,0,2,22.025,Unknown,False,False,True,False,False,False,True
0,29.69911764705882,0,0,50.0,A32,True,False,False,True,False,False,True
1,29.69911764705882,1,0,15.5,Unknown,False,False,True,False,False,True,False
1,45.0,0,0,26.55,Unknown,True,False,False,True,False,False,True
0,40.0,1,1,15.5,Unknown,False,False,True,True,False,True,False
0,36.0,0,0,7.8958,Unknown,False,False,True,True,False,False,True
1,32.0,0,0,13.0,Unknown,False,True,False,False,False,False,True
0,19.0,0,0,13.0,Unknown,False,True,False,True,False,False,True
1,19.0,1,0,7.8542,Unknown,False,False,True,False,False,False,True
1,3.0,1,1,26.0,F2,False,True,False,True,False,False,True
1,44.0,0,0,27.7208,B4,True,False,False,False,True,False,False
1,58.0,0,0,146.5208,B80,True,False,False,False,True,False,False
0,29.69911764705882,0,0,7.75,Unknown,False,False,True,True,False,True,False
0,42.0,0,1,8.4042,Unknown,False,False,True,True,False,False,True
1,29.69911764705882,0,0,7.75,Unknown,False,False,True,False,False,True,False
0,24.0,0,0,13.0,Unknown,False,True,False,False,False,False,True
0,28.0,0,0,9.5,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,8,2,69.55,Unknown,False,False,True,True,False,False,True
0,34.0,0,0,6.4958,Unknown,False,False,True,True,False,False,True
0,45.5,0,0,7.225,Unknown,False,False,True,True,True,False,False
1,18.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,2.0,0,1,10.4625,G6,False,False,True,False,False,False,True
0,32.0,1,0,15.85,Unknown,False,False,True,True,False,False,True
1,26.0,0,0,18.7875,Unknown,False,False,True,True,True,False,False
1,16.0,0,0,7.75,Unknown,False,False,True,False,False,True,False
1,40.0,0,0,31.0,A31,True,False,False,True,True,False,False
0,24.0,0,0,7.05,Unknown,False,False,True,True,False,False,True
1,35.0,0,0,21.0,Unknown,False,True,False,False,False,False,True
0,22.0,0,0,7.25,Unknown,False,False,True,True,False,False,True
0,30.0,0,0,13.0,Unknown,False,True,False,True,False,False,True
0,29.69911764705882,1,0,7.75,Unknown,False,False,True,True,False,True,False
1,31.0,1,0,113.275,D36,True,False,False,False,True,False,False
1,27.0,0,0,7.925,Unknown,False,False,True,False,False,False,True
0,42.0,1,0,27.0,Unknown,False,True,False,True,False,False,True
1,32.0,0,0,76.2917,D15,True,False,False,False,True,False,False
0,30.0,0,0,10.5,Unknown,False,True,False,True,False,False,True
1,16.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,27.0,0,0,13.0,Unknown,False,True,False,True,False,False,True
0,51.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,0,0,7.8958,Unknown,False,False,True,True,False,False,True
1,38.0,1,0,90.0,C93,True,False,False,True,False,False,True
0,22.0,0,0,9.35,Unknown,False,False,True,True,False,False,True
1,19.0,0,0,10.5,Unknown,False,True,False,True,False,False,True
0,20.5,0,0,7.25,Unknown,False,False,True,True,False,False,True
0,18.0,0,0,13.0,Unknown,False,True,False,True,False,False,True
0,29.69911764705882,3,1,25.4667,Unknown,False,False,True,False,False,False,True
1,35.0,1,0,83.475,C83,True,False,False,False,False,False,True
0,29.0,0,0,7.775,Unknown,False,False,True,True,False,False,True
0,59.0,0,0,13.5,Unknown,False,True,False,True,False,False,True
1,5.0,4,2,31.3875,Unknown,False,False,True,False,False,False,True
0,24.0,0,0,10.5,Unknown,False,True,False,True,False,False,True
0,29.69911764705882,0,0,7.55,Unknown,False,False,True,False,False,False,True
0,44.0,1,0,26.0,Unknown,False,True,False,True,False,False,True
1,8.0,0,2,26.25,Unknown,False,True,False,False,False,False,True
0,19.0,0,0,10.5,Unknown,False,True,False,True,False,False,True
0,33.0,0,0,12.275,Unknown,False,True,False,True,False,False,True
0,29.69911764705882,1,0,14.4542,Unknown,False,False,True,False,True,False,False
1,29.69911764705882,1,0,15.5,Unknown,False,False,True,False,False,True,False
0,29.0,0,0,10.5,Unknown,False,True,False,True,False,False,True
0,22.0,0,0,7.125,Unknown,False,False,True,True,False,False,True
0,30.0,0,0,7.225,Unknown,False,False,True,True,True,False,False
0,44.0,2,0,90.0,C78,True,False,False,True,False,True,False
0,25.0,0,0,7.775,Unknown,False,False,True,False,False,False,True
1,24.0,0,2,14.5,Unknown,False,True,False,False,False,False,True
1,37.0,1,1,52.5542,D35,True,False,False,True,False,False,True
0,54.0,1,0,26.0,Unknown,False,True,False,True,False,False,True
0,29.69911764705882,0,0,7.25,Unknown,False,False,True,True,False,False,True
0,29.0,1,1,10.4625,G6,False,False,True,False,False,False,True
0,62.0,0,0,26.55,C87,True,False,False,True,False,False,True
0,30.0,1,0,16.1,Unknown,False,False,True,True,False,False,True
0,41.0,0,2,20.2125,Unknown,False,False,True,False,False,False,True
1,29.0,0,2,15.2458,Unknown,False,False,True,False,True,False,False
1,29.69911764705882,0,0,79.2,Unknown,True,False,False,False,True,False,False
1,30.0,0,0,86.5,B77,True,False,False,False,False,False,True
1,35.0,0,0,512.3292,Unknown,True,False,False,False,True,False,False
1,50.0,0,1,26.0,Unknown,False,True,False,False,False,False,True
0,29.69911764705882,0,0,7.75,Unknown,False,False,True,True,False,True,False
1,3.0,4,2,31.3875,Unknown,False,False,True,True,False,False,True
0,52.0,1,1,79.65,E67,True,False,False,True,False,False,True
0,40.0,0,0,0.0,B94,True,False,False,True,False,False,True
0,29.69911764705882,0,0,7.75,Unknown,False,False,True,False,False,True,False
0,36.0,0,0,10.5,Unknown,False,True,False,True,False,False,True
0,16.0,4,1,39.6875,Unknown,False,False,True,True,False,False,True
1,25.0,1,0,7.775,Unknown,False,False,True,True,False,False,True
1,58.0,0,1,153.4625,C125,True,False,False,False,False,False,True
1,35.0,0,0,135.6333,C99,True,False,False,False,False,False,True
0,29.69911764705882,0,0,31.0,Unknown,True,False,False,True,False,False,True
1,25.0,0,0,0.0,Unknown,False,False,True,True,False,False,True
1,41.0,0,1,19.5,Unknown,False,True,False,False,False,False,True
0,37.0,0,1,29.7,C118,True,False,False,True,True,False,False
1,29.69911764705882,0,0,7.75,Unknown,False,False,True,False,False,True,False
1,63.0,1,0,77.9583,D7,True,False,False,False,False,False,True
0,45.0,0,0,7.75,Unknown,False,False,True,False,False,False,True
0,29.69911764705882,0,0,0.0,Unknown,False,True,False,True,False,False,True
0,7.0,4,1,29.125,Unknown,False,False,True,True,False,True,False
1,35.0,1,1,20.25,Unknown,False,False,True,False,False,False,True
0,65.0,0,0,7.75,Unknown,False,False,True,True,False,True,False
0,28.0,0,0,7.8542,Unknown,False,False,True,True,False,False,True
0,16.0,0,0,9.5,Unknown,False,False,True,True,False,False,True
1,19.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,0,0,26.0,A19,True,False,False,True,False,False,True
0,33.0,0,0,8.6625,Unknown,False,False,True,True,True,False,False
1,30.0,0,0,9.5,Unknown,False,False,True,True,False,False,True
0,22.0,0,0,7.8958,Unknown,False,False,True,True,False,False,True
1,42.0,0,0,13.0,Unknown,False,True,False,True,False,False,True
1,22.0,0,0,7.75,Unknown,False,False,True,False,False,True,False
1,26.0,0,0,78.85,Unknown,True,False,False,False,False,False,True
1,19.0,1,0,91.0792,B49,True,False,False,False,True,False,False
0,36.0,0,0,12.875,D,False,True,False,True,True,False,False
0,24.0,0,0,8.85,Unknown,False,False,True,False,False,False,True
0,24.0,0,0,7.8958,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,0,0,27.7208,Unknown,True,False,False,True,True,False,False
