Survived,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_male,Embarked_C,Embarked_Q,Embarked_S,G,F,C,T,B,Unknown,D,E,A
0,22.0,1,0,7.25,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,38.0,1,0,71.2833,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1,26.0,0,0,7.925,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,35.0,1,0,53.1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0,35.0,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,8.4583,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False
0,54.0,0,0,51.8625,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
0,2.0,3,1,21.075,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,27.0,0,2,11.1333,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,14.0,1,0,30.0708,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1,4.0,1,1,16.7,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
1,58.0,0,0,26.55,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0,20.0,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,39.0,1,5,31.275,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,14.0,0,0,7.8542,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,55.0,0,0,16.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,2.0,4,1,29.125,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False
1,29.69911764705882,0,0,13.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,31.0,1,0,18.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,29.69911764705882,0,0,7.225,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0,35.0,0,0,26.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
1,34.0,0,0,13.0,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False
1,15.0,0,0,8.0292,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
1,28.0,0,0,35.5,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,8.0,3,1,21.075,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,38.0,1,5,31.3875,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,7.225,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
0,19.0,3,2,263.0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1,29.69911764705882,0,0,7.8792,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,7.8958,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,40.0,0,0,27.7208,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
1,29.69911764705882,1,0,146.5208,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
1,29.69911764705882,0,0,7.75,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
0,66.0,0,0,10.5,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,28.0,1,0,82.1708,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
0,42.0,1,0,52.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
1,29.69911764705882,0,0,7.2292,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
0,21.0,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,18.0,2,0,18.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,14.0,1,0,11.2417,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0,40.0,1,0,9.475,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,27.0,1,0,21.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,7.8958,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
1,3.0,1,2,41.5792,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1,19.0,0,0,7.8792,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,1,0,15.5,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False
1,29.69911764705882,0,0,7.75,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
0,29.69911764705882,2,0,21.6792,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
0,18.0,1,0,17.8,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,7.0,4,1,39.6875,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,21.0,0,0,7.8,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,49.0,1,0,76.7292,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,29.0,1,0,26.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,65.0,0,1,61.9792,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
1,29.69911764705882,0,0,35.5,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1,21.0,0,0,10.5,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,28.5,0,0,7.2292,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
1,5.0,1,2,27.75,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,11.0,5,2,46.9,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,22.0,0,0,7.2292,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
1,38.0,0,0,80.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0,45.0,1,0,83.475,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0,4.0,3,2,27.9,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,27.7208,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
1,29.69911764705882,1,1,15.2458,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
1,29.0,0,0,10.5,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
0,19.0,0,0,8.1583,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,17.0,4,2,7.925,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,26.0,2,0,8.6625,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,32.0,0,0,10.5,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,16.0,5,2,46.9,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,21.0,0,0,73.5,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,26.0,1,0,14.4542,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
1,32.0,0,0,56.4958,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,25.0,0,0,7.65,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False
0,29.69911764705882,0,0,7.8958,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,0.83,0,2,29.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
1,30.0,0,0,12.475,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,22.0,0,0,9.0,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,29.0,0,0,9.5,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,29.69911764705882,0,0,7.7875,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
0,28.0,0,0,47.1,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
1,17.0,0,0,10.5,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,33.0,3,0,15.85,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,16.0,1,3,34.375,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,23.0,3,2,263.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0,24.0,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.0,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,20.0,0,0,7.8542,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,46.0,1,0,61.175,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
0,26.0,1,2,20.575,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,59.0,0,0,7.25,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,71.0,0,0,34.6542,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
1,23.0,0,1,63.3583,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
1,34.0,0,1,23.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,34.0,1,0,26.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,28.0,0,0,7.8958,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,7.8958,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,21.0,0,1,77.2875,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
0,33.0,0,0,8.6542,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,37.0,2,0,7.925,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,28.0,0,0,7.8958,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,21.0,0,0,7.65,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,29.69911764705882,0,0,7.775,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,38.0,0,0,7.8958,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,29.69911764705882,1,0,24.15,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
0,47.0,0,0,52.0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0,14.5,1,0,14.4542,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0,22.0,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,20.0,1,0,9.825,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,17.0,0,0,14.4583,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0,21.0,0,0,7.925,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,70.5,0,0,7.75,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False
0,29.0,1,0,21.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,24.0,0,1,247.5208,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
0,2.0,4,2,31.275,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,21.0,2,0,73.5,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,32.5,1,0,30.0708,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False
1,32.5,0,0,13.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,54.0,0,1,77.2875,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
1,12.0,1,0,11.2417,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,7.75,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False
1,24.0,0,0,7.1417,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,29.69911764705882,1,1,22.3583,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
0,45.0,0,0,6.975,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,33.0,0,0,7.8958,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
0,20.0,0,0,7.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,47.0,1,0,14.5,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,29.0,1,0,26.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,25.0,0,0,13.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,23.0,0,0,15.0458,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False
1,19.0,0,2,26.2833,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0,37.0,1,0,53.1,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0,16.0,0,0,9.2167,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,24.0,0,0,79.2,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
0,29.69911764705882,0,2,15.2458,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1,22.0,0,0,7.75,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,24.0,1,0,15.85,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,19.0,0,0,6.75,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False
0,18.0,0,0,11.5,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,19.0,1,1,36.75,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
1,27.0,0,0,7.7958,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,9.0,2,2,34.375,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,36.5,0,2,26.0,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
0,42.0,0,0,13.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,51.0,0,0,12.525,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
1,22.0,1,0,66.6,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0,55.5,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,40.5,0,2,14.5,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,7.3125,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,51.0,0,1,61.3792,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
1,16.0,0,0,7.7333,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
0,30.0,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,8.6625,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,8,2,69.55,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,44.0,0,1,16.1,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,40.0,0,0,15.75,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,26.0,0,0,7.775,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,17.0,0,0,8.6625,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,1.0,4,1,39.6875,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,9.0,0,2,20.525,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,29.69911764705882,0,1,55.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,45.0,1,4,27.9,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,25.925,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,28.0,0,0,56.4958,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,61.0,0,0,33.5,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
0,4.0,4,1,29.125,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False
1,1.0,1,1,11.1333,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,21.0,0,0,7.925,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,56.0,0,0,30.6958,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0,18.0,1,1,7.8542,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,3,1,25.4667,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,50.0,0,0,28.7125,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0,30.0,0,0,13.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,36.0,0,0,0.0,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,8,2,69.55,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,15.05,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False
0,9.0,4,2,31.3875,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,1.0,2,1,39.0,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
1,4.0,0,2,22.025,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,50.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
1,29.69911764705882,1,0,15.5,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
1,45.0,0,0,26.55,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,40.0,1,1,15.5,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False
0,36.0,0,0,7.8958,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,32.0,0,0,13.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,19.0,0,0,13.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
1,19.0,1,0,7.8542,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,3.0,1,1,26.0,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
1,44.0,0,0,27.7208,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
1,58.0,0,0,146.5208,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
0,29.69911764705882,0,0,7.75,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False
0,42.0,0,1,8.4042,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,29.69911764705882,0,0,7.75,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
0,24.0,0,0,13.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,28.0,0,0,9.5,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,8,2,69.55,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,34.0,0,0,6.4958,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,45.5,0,0,7.225,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
1,18.0,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,2.0,0,1,10.4625,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
0,32.0,1,0,15.85,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,26.0,0,0,18.7875,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
1,16.0,0,0,7.75,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
1,40.0,0,0,31.0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0,24.0,0,0,7.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,35.0,0,0,21.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,22.0,0,0,7.25,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,30.0,0,0,13.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,1,0,7.75,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False
1,31.0,1,0,113.275,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,27.0,0,0,7.925,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,42.0,1,0,27.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
1,32.0,0,0,76.2917,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0,30.0,0,0,10.5,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
1,16.0,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,27.0,0,0,13.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
